ticker,date,value
AHEXY,2010-01-01,15.467013359069824
AHEXY,2010-02-01,14.182853698730469
AHEXY,2010-03-01,16.123363494873047
AHEXY,2010-04-01,16.688390731811523
AHEXY,2010-05-01,13.897480964660645
AHEXY,2010-06-01,13.77573013305664
AHEXY,2010-07-01,14.753928184509277
AHEXY,2010-08-01,13.370563507080078
AHEXY,2010-09-01,15.159095764160156
AHEXY,2010-10-01,16.090980529785156
AHEXY,2010-11-01,16.49036407470703
AHEXY,2010-12-01,18.8808536529541
AHEXY,2011-01-01,18.70721435546875
AHEXY,2011-02-01,19.546491622924805
AHEXY,2011-03-01,19.15868377685547
AHEXY,2011-04-01,20.582565307617188
AHEXY,2011-05-01,20.119970321655273
AHEXY,2011-06-01,18.912179946899414
AHEXY,2011-07-01,17.704395294189453
AHEXY,2011-08-01,13.698075294494629
AHEXY,2011-09-01,11.630108833312988
AHEXY,2011-10-01,14.075139999389648
AHEXY,2011-11-01,12.69649600982666
AHEXY,2011-12-01,12.289971351623535
AHEXY,2012-01-01,13.998552322387695
AHEXY,2012-02-01,14.681977272033691
AHEXY,2012-03-01,15.388978004455566
AHEXY,2012-04-01,14.410964965820312
AHEXY,2012-05-01,11.488706588745117
AHEXY,2012-06-01,13.587065696716309
AHEXY,2012-07-01,13.470306396484375
AHEXY,2012-08-01,13.857453346252441
AHEXY,2012-09-01,14.58873462677002
AHEXY,2012-10-01,14.717785835266113
AHEXY,2012-11-01,15.080351829528809
AHEXY,2012-12-01,16.25408935546875
AHEXY,2013-01-01,17.563016891479492
AHEXY,2013-02-01,17.50156593322754
AHEXY,2013-03-01,16.874752044677734
AHEXY,2013-04-01,16.389280319213867
AHEXY,2013-05-01,17.73702049255371
AHEXY,2013-06-01,18.05545997619629
AHEXY,2013-07-01,20.246318817138672
AHEXY,2013-08-01,20.048885345458984
AHEXY,2013-09-01,22.711030960083008
AHEXY,2013-10-01,23.443437576293945
AHEXY,2013-11-01,24.487913131713867
AHEXY,2013-12-01,25.36680793762207
AHEXY,2014-01-01,25.029260635375977
AHEXY,2014-02-01,27.513084411621094
AHEXY,2014-03-01,26.53229331970215
AHEXY,2014-04-01,26.55776596069336
AHEXY,2014-05-01,27.4879150390625
AHEXY,2014-06-01,26.9247989654541
AHEXY,2014-07-01,24.515186309814453
AHEXY,2014-08-01,24.842578887939453
AHEXY,2014-09-01,22.11212158203125
AHEXY,2014-10-01,22.171052932739258
AHEXY,2014-11-01,22.963342666625977
AHEXY,2014-12-01,22.465709686279297
AHEXY,2015-01-01,24.42351531982422
AHEXY,2015-02-01,25.752731323242188
AHEXY,2015-03-01,27.134328842163086
AHEXY,2015-04-01,26.76765251159668
AHEXY,2015-05-01,26.673418045043945
AHEXY,2015-06-01,27.291852951049805
AHEXY,2015-07-01,28.051448822021484
AHEXY,2015-08-01,26.384363174438477
AHEXY,2015-09-01,24.495445251464844
AHEXY,2015-10-01,24.98615837097168
AHEXY,2015-11-01,22.942636489868164
AHEXY,2015-12-01,22.969518661499023
AHEXY,2016-01-01,20.61005401611328
AHEXY,2016-02-01,19.507625579833984
AHEXY,2016-03-01,21.833480834960938
AHEXY,2016-04-01,21.61837387084961
AHEXY,2016-05-01,21.103246688842773
AHEXY,2016-06-01,17.52784538269043
AHEXY,2016-07-01,19.17588233947754
AHEXY,2016-08-01,20.062747955322266
AHEXY,2016-09-01,19.678672790527344
AHEXY,2016-10-01,20.775035858154297
AHEXY,2016-11-01,21.494306564331055
AHEXY,2016-12-01,22.800167083740234
AHEXY,2017-01-01,24.88116455078125
AHEXY,2017-02-01,24.98590850830078
AHEXY,2017-03-01,24.832279205322266
AHEXY,2017-04-01,25.963558197021484
AHEXY,2017-05-01,26.566926956176758
AHEXY,2017-06-01,27.179622650146484
AHEXY,2017-07-01,27.222370147705078
AHEXY,2017-08-01,26.11836051940918
AHEXY,2017-09-01,28.05866813659668
AHEXY,2017-10-01,28.650131225585938
AHEXY,2017-11-01,27.243593215942383
AHEXY,2017-12-01,27.647523880004883
